district,date,month,visitors,year
Mahabubabad,2019-12-01,December,12360,2019
Mahabubabad,2016-12-01,December,12955,2016
Mahabubabad,2017-12-01,December,13780,2017
Mahabubabad,2018-12-01,December,17125,2018
Mahabubabad,2016-02-01,February,0,2016
Mahabubabad,2017-02-01,February,13045,2017
Mahabubabad,2019-02-01,February,13545,2019
Mahabubabad,2018-02-01,February,14230,2018
Mahabubabad,2016-01-01,January,0,2016
Mahabubabad,2017-01-01,January,13260,2017
Mahabubabad,2019-01-01,January,13480,2019
Mahabubabad,2018-01-01,January,14000,2018
Mahabubabad,2016-07-01,July,0,2016
Mahabubabad,2017-07-01,July,10170,2017
Mahabubabad,2019-07-01,July,13470,2019
Mahabubabad,2018-07-01,July,13970,2018
Mahabubabad,2016-06-01,June,0,2016
Mahabubabad,2017-06-01,June,10130,2017
Mahabubabad,2019-06-01,June,11460,2019
Mahabubabad,2018-06-01,June,13910,2018
Mahabubabad,2016-03-01,March,0,2016
Mahabubabad,2017-03-01,March,9100,2017
Mahabubabad,2018-03-01,March,13110,2018
Mahabubabad,2019-03-01,March,13490,2019
Mahabubabad,2016-05-01,May,0,2016
Mahabubabad,2017-05-01,May,10220,2017
Mahabubabad,2019-05-01,May,11970,2019
Mahabubabad,2018-05-01,May,12865,2018
Mahabubabad,2019-11-01,November,12470,2019
Mahabubabad,2017-11-01,November,13560,2017
Mahabubabad,2018-11-01,November,13700,2018
Mahabubabad,2016-11-01,November,114015,2016
Mahabubabad,2019-10-01,October,12260,2019
Mahabubabad,2016-10-01,October,13032,2016
Mahabubabad,2018-10-01,October,13550,2018
Mahabubabad,2017-10-01,October,13750,2017
Mahabubabad,2016-09-01,September,0,2016
Mahabubabad,2017-09-01,September,13140,2017
Mahabubabad,2019-09-01,September,13210,2019
Mahabubabad,2018-09-01,September,13420,2018
Mahbubnagar,2019-04-01,April,183268,2019
Mahbubnagar,2018-04-01,April,196061,2018
Mahbubnagar,2017-04-01,April,208694,2017
Mahbubnagar,2016-04-01,April,622432,2016
Mahbubnagar,2019-08-01,August,104787,2019
Mahbubnagar,2018-08-01,August,169154,2018
